x0,x1,x2,x3,y
0.975,-0.455,0.424,-2.907,1
0.387,-1.225,-0.316,1.621,3
0.5,1.503,-1.079,0.031,1
1.12,-0.347,0.434,-1.29,1
-0.822,-0.002,0.73,2.279,3
1.972,0.154,-1.139,-0.08,1
1.723,0.171,0.39,0.939,2
0.26,-0.859,1.256,0.893,3
1.361,-0.396,0.23,-0.267,1
1.978,0.379,0.711,-1.859,2
0.509,0.031,0.024,-0.743,1
-0.723,0.14,1.607,-0.03,2
0.625,-0.715,-0.94,-0.73,1
0.231,-1.009,1.057,-0.722,0
-0.197,-1.024,0.513,1.118,3
2.557,0.307,-0.001,0.808,1
0.787,-1.205,0.69,-1.07,0
-0.601,0.679,-0.286,-0.983,1
-1.646,-1.771,-0.673,0.299,0
1.608,-0.12,-0.846,0.3,1
1.137,2.271,0.828,0.155,2
0.834,0.562,0.692,0.701,2
-1.693,0.435,1.205,1.146,3
-2.756,0.51,-2.662,-0.423,0
1.121,0.066,-0.445,-0.533,1
-0.925,0.046,1.723,-0.006,3
0.042,-0.078,-0.41,0.236,1
-1.532,-1.174,0.519,0.902,0
-0.424,-2.178,-0.32,-0.07,0
0.201,-0.967,0.573,0.514,0
-0.267,1.028,-1.047,1.659,3
2.215,-1.804,-0.02,0.046,0
-2.406,-0.568,-0.231,-0.633,0
0.75,-1.044,-0.828,-0.354,0
-0.193,-0.481,0.383,1.855,3
0.959,-0.634,0.165,0.03,0
0.112,1.282,0.211,-0.947,2
-2.711,-1.337,1.713,0.509,0
-1.389,0.868,0.84,-0.697,2
0.417,0.121,-0.217,0.561,1
-1.912,1.868,1.701,2.12,3
1.294,1.227,0.413,-0.002,2
1.166,-0.931,-1.153,0.224,1
0.196,-0.454,-1.335,0.845,1
-1.449,-0.726,-0.813,-0.315,0
-1.819,1.093,0.793,0.264,3
-0.292,0.135,-0.351,-0.747,1
-0.669,-2.306,-0.959,0.518,0
-0.102,-0.827,0.481,1.151,3
-1.132,2.123,1.982,0.15,2
-0.964,-0.069,0.019,0.549,3
1.669,-1.401,-1.155,-1.233,1
2.428,0.61,0.267,2.544,2
-0.851,-0.182,0.559,-0.067,0
-1.888,0.506,-1.635,0.389,0
3.223,0.433,0.825,0.465,2
0.524,0.119,1.136,-0.429,2
-0.301,0.109,3.048,-0.014,2
1.007,-0.713,-0.376,-0.624,1
0.082,0.621,1.181,0.661,2
-0.479,-0.704,-0.526,-1.023,0
0.111,-0.078,1.866,-1.229,2
0.578,-2.103,2.665,-0.21,0
-0.904,0.305,-0.252,0.611,3
0.886,-1.009,-2.226,0.426,1
-0.829,0.35,-1.618,-1.44,1
1.604,-1.705,-1.134,-0.59,0
-0.436,-0.065,-1.307,2.471,3
1.085,-0.637,-0.13,1.194,3
-0.096,0.412,-0.093,0.559,3
1.357,0.406,0.2,0.634,2
1.374,1.444,-0.986,-0.544,1
0.635,-0.669,0.648,1.227,3
0.822,0.291,-0.324,2.507,3
-0.071,0.748,-0.508,0.093,1
1.945,0.527,1.372,0.629,2
-0.432,-0.278,0.446,0.404,3
-0.57,-0.638,-1.389,-0.321,0
0.364,0.22,2.179,-0.317,2
-0.618,-0.977,-0.884,1.888,3
0.772,-0.46,-1.448,0.07,1
-0.03,0.667,0.257,0.457,2
-0.321,-1.12,1.683,0.571,3
-0.488,-0.346,-0.718,-0.873,0
1.498,0.16,0.639,-0.942,2
-0.868,-0.499,-0.805,1.032,3
1.031,1.099,-1.578,0.553,1
0.933,-0.231,-0.783,0.168,1
-1.17,0.786,0.825,-0.73,2
-0.777,-1.54,0.319,1.367,3
-0.345,0.927,0.509,-1.302,2
-1.023,1.019,-0.491,0.614,3
0.577,0.233,-1.244,1.33,1
0.925,-0.416,-0.07,-1.043,1
-0.077,1.121,-0.144,0.365,2
0.075,1.292,0.234,-0.544,2
-0.524,0.571,0.703,-0.965,2
1.152,0.636,-0.598,-1.55,1
0.427,-1.02,1.143,0.306,0
-0.805,0.424,0.365,0.979,3
0.253,0.685,0.638,1.261,2
0.393,-1.347,-0.879,1.799,3
-1.412,0.168,0.144,0.136,0
-0.332,0.946,0.416,1.312,2
-1.258,-1.739,-2.005,0.9,0
0.403,-1.558,1.134,-0.986,0
1.823,-0.58,0.189,0.663,2
-1.036,-0.205,0.25,2.238,3
-0.417,-0.42,0.226,0.19,0
0.376,0.196,1.664,0.461,2
0.755,0.346,1.275,-0.602,2
-0.338,-1.04,-1.439,0.907,0
1.725,0.669,-1.084,-0.067,1
-0.273,-1.465,-0.677,-0.658,0
-0.42,-0.186,-1.474,0.426,0
-1.338,0.62,-1.221,-0.949,1
-0.288,0.224,1.036,-0.301,2
-1.62,-0.539,0.675,1.669,3
0.383,-0.477,-0.621,-1.552,1
-0.116,0.492,2.281,-1.184,2
0.211,-0.112,0.029,-0.793,1
0.763,0.007,1.829,0.274,2
1.138,0.689,-0.758,0.737,1
-1.582,-0.445,1.13,0.675,3
0.44,-0.393,0.068,1.045,3
-1.343,0.982,-0.503,-1.956,1
2.148,-0.761,0.269,0.892,2
-0.976,-1.71,0.173,0.015,0
-0.889,0.731,-0.931,0.22,1
0.54,-0.246,0.554,1.441,3
0.534,-2.054,-0.297,-0.182,0
-0.512,-0.417,0.113,-2.02,0
1.174,0.799,-1.368,-1.601,1
0.625,0.382,0.075,0.103,2
-0.87,-0.729,0.47,1.404,3
-1.382,-0.057,0.829,-0.754,0
0.699,-0.389,0.291,-0.434,2
-0.24,-0.378,0.838,0.401,3
0.908,0.531,-1.549,0.483,1
0.77,-0.776,-1.172,-1.032,1
1.571,0.808,-0.234,-0.34,1
0.254,-1.626,0.563,-1.494,0
0.45,-0.171,0.399,1.699,3
0.189,-0.69,0.355,-1.321,0
-0.824,-0.025,2.245,-1.639,2
1.259,1.879,0.571,0.09,2
0.532,0.488,-1.228,1.266,1
2.304,-0.086,3.009,0.394,2
-0.405,0.709,2.325,-1.593,2
1.532,-0.626,-0.042,1.084,3
0.824,-1.137,-1.071,-0.118,0
1.116,0.198,1.245,0.385,2
-0.64,-0.403,0.475,1.796,3
-2.27,0.142,-1.583,-0.486,0
1.135,-0.165,0.394,0.132,2
1.28,-0.506,0.359,1.771,3
0.131,0.659,0.148,-0.58,2
-1.498,-1.179,-0.265,-2.005,0
0.945,-0.027,-1.234,-0.338,1
-0.889,-1.848,-0.732,-0.344,0
0.361,-0.801,-0.468,-0.132,0
-0.119,0.57,-0.151,0.712,2
-0.55,-1.106,-0.272,1.041,0
-0.291,-1.224,0.21,0.038,0
-0.355,0.001,0.524,-0.515,0
-1.572,0.77,2.008,0.861,3
0.464,0.228,0.234,-1.848,1
-1.762,0.28,-0.328,0.029,0
0.315,1.601,-0.553,-1.871,1
0.402,-0.604,-0.539,1.075,3
-1.113,1.59,-1.885,0.183,1
0.366,0.004,-0.537,-0.849,1
0.077,-0.952,-0.326,-1.2,0
-1.383,0.357,-0.403,1.386,3
-1.388,-0.558,-0.785,1.382,3
0.337,-0.128,0.216,1.0,3
1.4,-0.116,0.923,-0.613,2
-1.96,1.671,1.011,-0.528,2
-0.533,-0.731,-0.382,0.616,0
0.453,-0.559,0.783,1.406,3
-0.799,1.734,0.604,0.825,2
0.906,0.864,-0.795,0.889,1
-2.323,0.278,1.717,-1.388,0
-0.419,-0.349,0.28,0.489,3
1.516,0.322,3.045,0.335,2
-1.549,-0.339,-0.374,0.251,0
-2.302,1.685,-0.718,0.157,3
1.38,0.159,0.872,-0.415,2
0.417,-0.459,0.094,-0.078,0
-1.219,1.305,1.034,0.07,2
0.195,0.603,1.149,-1.197,2
-1.89,-2.476,-0.306,2.109,0
-0.784,0.333,-0.196,-0.682,0
0.795,0.856,-0.093,0.63,2
-1.135,-0.3,0.997,0.338,3
0.749,2.026,-1.245,0.383,1
-0.956,-3.452,0.514,-0.262,0
1.205,1.225,0.583,-0.087,2
-0.246,0.167,-0.179,-1.387,1
-0.094,-1.571,1.092,0.805,0
1.005,0.084,-0.159,-1.867,1
-0.166,0.612,-1.857,0.847,1
-2.563,1.833,0.775,-0.229,2
0.622,0.134,1.284,-0.25,2
-1.662,0.69,1.16,-0.718,2
-0.936,0.172,-0.172,-0.924,0
-0.866,-1.648,0.077,0.282,0
-0.961,1.752,1.49,0.266,2
-0.359,0.219,0.219,0.82,3
-0.31,1.092,0.553,-0.972,2
-0.094,-0.287,0.29,-1.563,0
0.631,0.234,0.6,-1.76,2
0.813,0.305,1.881,-0.949,2
-0.711,0.619,-0.276,-0.509,1
-0.123,-0.743,-1.052,-0.264,0
1.093,-1.434,0.578,0.015,0
0.597,0.596,-1.192,0.489,1
-2.364,0.948,-0.23,-1.038,0
-0.247,1.147,0.177,0.703,2
-1.066,2.032,-0.959,-0.74,1
1.018,-0.931,-0.955,-0.462,1
0.945,2.481,0.388,1.327,2
0.265,-0.458,0.065,0.698,3
-0.514,0.426,-0.375,-0.6,1
-1.571,0.343,1.769,-0.424,3
-0.277,0.496,0.602,1.76,3
0.47,-0.328,0.237,-0.229,0
0.959,0.228,0.956,-0.634,2
-0.04,-0.497,0.114,-1.178,0
-0.489,-0.266,-0.829,0.671,3
3.267,1.912,-0.344,-0.875,1
0.433,-0.487,-0.144,0.381,3
-0.636,0.486,-0.679,0.824,3
-0.256,1.348,-0.906,-0.001,1
1.533,-1.164,0.024,1.063,3
2.142,-1.371,0.718,-0.828,0
-0.628,0.307,-0.616,-1.069,1
-0.318,-0.947,0.383,0.903,3
1.462,-0.122,0.184,1.577,3
0.143,-0.378,0.904,0.738,3
0.874,-0.325,1.327,1.427,3
-0.722,-0.165,0.399,0.846,3
1.144,-1.309,-0.347,0.033,0
0.16,1.173,-0.293,-1.16,1
-1.033,-0.074,0.514,-1.344,0
-0.995,-0.738,1.732,-0.379,0
-1.78,-0.602,1.203,-1.849,0
-0.067,1.537,-0.397,0.84,2
0.24,-1.111,0.466,-0.214,0
0.851,0.43,-0.19,-0.247,1
0.805,-0.028,-0.408,0.435,1
-0.448,0.409,0.232,-1.496,1
-0.268,-1.181,0.027,0.266,0
0.473,3.058,0.136,-0.892,2
-0.758,-0.602,-0.88,1.257,3
-0.582,-0.256,0.155,-0.164,0
1.791,-1.028,0.541,2.164,3
-1.798,0.008,-0.231,0.823,3
-0.654,2.051,-1.006,2.378,3
-0.137,0.88,0.444,0.87,2
-0.534,1.432,-0.176,0.456,2
0.021,-0.21,0.415,-0.122,0
-0.773,-0.499,0.24,0.461,0
0.915,0.958,-1.132,0.22,1
-1.74,1.573,1.07,1.208,3
-0.377,-2.908,-0.767,0.853,0
-0.411,0.992,-0.822,1.761,3
-0.33,-1.643,0.357,-0.426,0
0.101,-0.123,0.292,1.197,3
-0.776,0.341,0.578,1.562,3
-1.75,0.908,1.139,-1.198,2
0.23,1.32,-0.01,-0.872,1
-1.048,-0.379,-0.385,0.426,0
1.6,-0.81,-0.56,1.173,1
-1.623,1.863,1.304,1.458,2
-1.005,0.295,-0.776,2.029,3
-1.882,-0.643,-0.447,0.558,0
0.432,0.066,-0.136,0.491,1
1.023,1.646,0.283,-0.918,2
-1.064,-0.492,0.612,0.975,3
0.546,0.699,1.274,-0.384,2
0.096,0.329,-1.876,-0.101,1
0.921,0.442,0.117,0.476,2
0.839,0.091,1.285,1.344,2
0.336,0.624,-0.554,-1.218,1
-0.764,-0.797,-1.155,-1.535,0
-0.434,-0.286,0.012,0.237,0
1.098,-0.545,0.29,-1.876,1
-0.698,-0.59,1.223,-0.69,0
1.153,-0.739,-0.361,-2.421,1
-0.112,1.16,0.083,-0.814,2
-0.088,-0.097,0.795,-0.924,2
0.686,-0.032,0.502,-0.558,2
0.014,-0.637,-0.199,0.867,3
-1.11,1.533,1.358,0.4,2
-0.893,1.376,-0.799,0.522,1
0.317,-0.288,-0.986,0.445,1
-0.605,0.748,0.991,-0.565,2
-0.492,-1.143,-1.031,0.347,0
0.223,-1.675,-0.115,-2.029,0
0.708,1.855,-0.814,-0.669,1
0.833,0.429,-0.865,1.12,1
0.069,0.799,-1.145,1.078,1
-0.863,0.499,-0.832,1.199,3
0.23,-0.705,-0.028,0.152,0
0.096,0.45,-0.846,-1.623,1
1.743,0.36,2.638,0.013,2
-0.366,-1.712,-1.575,0.353,0
-0.608,0.332,-0.116,-0.762,1
-1.757,0.047,0.748,1.713,3
0.365,1.202,-1.11,1.228,1
-0.343,-0.524,-0.294,-0.569,0
-0.675,1.525,0.67,-1.047,2
0.684,1.263,1.472,-0.712,2
-0.905,-2.106,0.194,-0.455,0
1.369,-1.403,-0.134,0.229,0
-1.23,0.425,-0.66,-0.701,0
-0.584,0.34,1.29,-1.406,2
1.151,0.519,-0.997,0.191,1
-1.169,0.599,-0.273,1.16,3
-1.922,0.734,-2.03,-1.385,1
-0.399,1.069,1.389,0.074,2
-1.678,-0.121,1.389,0.112,3
-1.585,-0.137,-0.513,0.48,0
0.196,-1.338,0.293,-1.377,0
1.021,-0.434,-0.538,1.005,3
-1.216,1.242,0.884,0.385,2
-0.077,-0.368,-1.093,-0.879,1
-0.648,-0.224,0.188,0.759,3
0.686,1.018,0.278,0.5,2
2.061,-0.704,1.667,-0.597,2
0.515,1.338,0.444,1.629,2
0.789,0.083,-2.004,1.386,1
1.171,-0.551,-0.294,0.298,1
0.857,-2.263,-2.77,0.16,0
1.47,-0.549,-0.641,-0.248,1
0.678,0.301,-0.69,0.627,1
0.134,-0.702,-0.39,0.88,3
1.412,-0.276,0.05,0.129,1
-0.125,0.01,-0.481,-1.094,1
1.011,0.409,-0.812,-1.135,1
0.352,-1.503,-0.069,0.895,0
-0.208,0.323,0.82,0.2,2
-0.392,-0.962,-0.239,-1.544,0
-0.168,0.066,0.739,-0.084,2
0.82,0.089,-0.516,-0.288,1
-2.586,0.785,-0.405,-1.642,0
0.56,-0.963,-0.971,0.398,0
0.691,-0.471,0.204,1.03,3
-1.523,-0.497,-0.491,-0.214,0
2.016,-0.892,-1.286,-1.097,1
0.523,0.507,0.138,-0.677,1
1.073,0.568,-0.175,1.038,2
-0.807,-0.065,1.0,0.109,3
0.098,-0.374,-0.243,0.656,3
-0.441,-0.58,0.97,0.793,3
-1.871,-0.097,2.069,0.22,3
-0.148,-0.586,1.598,1.343,3
-0.136,0.71,-0.321,-0.348,1
0.262,0.76,-0.061,-0.049,2
2.064,0.519,1.136,-0.416,2
-0.277,-1.684,1.045,-0.258,0
-0.727,1.487,-0.845,-0.613,1
0.976,-0.516,-1.301,-1.691,1
-1.446,2.175,-0.29,0.233,2
-0.359,0.597,1.023,1.479,3
1.876,0.329,0.976,1.107,2
0.479,-0.577,-0.27,0.16,0
1.862,1.562,0.425,-0.056,2
-1.684,0.308,-0.647,1.637,3
0.192,0.25,1.224,-0.781,2
1.079,-0.324,0.112,-0.288,1
0.356,0.01,1.146,-0.009,2
0.389,0.67,0.787,0.364,2
-0.348,-1.832,-0.963,1.537,0
1.127,1.046,-1.069,0.783,1
-1.686,0.262,-0.694,-0.656,0
-1.162,-0.076,0.381,-0.771,0
-0.603,0.09,-1.673,-0.034,1
0.769,-2.145,-1.154,1.282,0
-0.126,-1.512,-1.422,0.647,0
-1.779,0.861,0.685,-0.57,2
0.195,0.024,-1.193,0.141,1
-0.69,-0.748,0.665,-0.196,0
1.088,0.174,0.198,-1.392,1
-2.074,1.494,-0.134,-0.73,2
0.258,1.471,0.783,-0.085,2
-0.693,1.083,-1.269,0.233,1
1.558,0.486,1.485,0.383,2
0.994,0.417,-1.704,1.231,1
-0.778,-1.718,0.456,-0.502,0
0.165,-1.208,-0.238,0.944,0
0.599,-0.74,0.818,-0.887,0
-0.003,0.456,-0.01,0.612,2
0.198,0.233,-1.606,-0.639,1
-0.073,-1.267,0.281,0.112,0
-0.952,0.248,-0.329,0.406,3
-0.05,0.251,2.608,-1.549,2
-0.563,0.971,0.071,-0.944,2
0.066,-0.341,-1.375,-0.263,1
0.252,0.138,-0.314,-0.708,1
0.765,0.202,-0.34,-0.748,1
0.607,0.258,-0.555,-0.521,1
-0.713,-1.477,0.903,-1.692,0
1.002,-0.259,1.673,-0.495,2
-0.511,0.161,-0.274,0.111,3
1.156,1.017,-0.203,-0.39,1
2.1,1.557,-0.732,0.617,1
-0.454,-0.112,2.043,-0.571,2
1.654,0.703,0.68,-0.094,2
0.792,-0.922,0.455,0.24,0
0.767,0.615,-0.348,1.849,3
-1.077,0.576,-0.871,-0.858,1
-1.029,0.149,-1.317,-0.496,0
1.375,-1.21,-0.715,-1.365,1
-2.112,-0.887,-1.665,-0.289,0
0.604,-0.727,0.114,-1.105,0
-0.308,-0.572,0.771,-0.752,0
0.995,-1.473,-1.469,-1.167,0
1.22,-0.047,1.323,0.154,2
-0.181,0.311,2.517,-1.464,2
-0.592,0.142,-1.314,0.663,1
0.553,-0.063,-0.084,-0.602,1
1.024,-0.642,-2.988,-0.161,1
-0.164,-0.707,-0.13,0.433,0
0.069,-0.045,0.724,-1.009,2
-2.501,-0.398,0.15,-0.285,0
-0.902,-0.798,-0.258,0.453,0
-0.002,-0.716,2.61,1.714,3
-0.176,1.735,-1.115,1.306,1
-0.11,0.53,-0.94,0.284,1
-0.582,-1.82,-0.484,0.31,0
-0.164,0.191,1.351,0.445,2
1.396,-0.749,0.858,1.17,3
0.297,0.03,0.074,0.843,3
-0.754,1.111,-1.855,1.226,1
-0.311,-0.386,-1.573,-0.318,0
0.287,0.013,-0.614,-2.736,1
-0.816,0.376,0.408,0.554,3
-0.321,1.757,-0.409,0.077,1
1.563,-1.201,1.868,-0.465,2
-0.379,-0.596,-0.753,0.264,0
0.598,-1.721,1.115,0.616,0
-0.707,-0.819,0.642,2.103,3
-0.969,-0.565,1.086,-2.294,0
0.257,-0.972,-0.155,-0.496,0
0.04,1.296,0.937,-0.235,2
-1.013,0.499,1.658,1.141,3
-0.466,0.476,-0.394,-0.001,1
0.495,-0.437,-1.899,-1.439,1
0.062,-1.159,-0.206,-1.199,0
-0.043,-1.285,-0.971,-1.824,0
1.715,0.83,1.201,0.832,2
-0.988,0.89,0.137,-0.649,2
0.479,0.477,0.091,-1.162,1
0.039,0.975,1.089,-1.031,2
1.24,0.987,1.098,-1.471,2
0.81,0.222,0.134,1.824,3
0.408,0.081,0.464,0.598,2
-0.07,0.929,0.705,-0.11,2
0.261,0.062,1.029,0.778,2
-1.198,-2.276,-0.149,-0.197,0
0.245,0.756,-0.405,0.061,1
0.999,-0.598,-0.279,0.034,1
-2.598,0.165,-0.314,-0.07,0
1.78,0.831,0.876,0.193,2
0.036,-0.603,-0.078,0.354,0
0.392,2.096,2.698,0.332,2
0.051,-0.412,-0.96,-1.091,1
0.326,-0.841,1.015,-1.297,0
-0.807,0.519,0.085,-1.083,2
0.476,-0.771,-0.406,-0.449,0
0.013,-1.016,0.758,-0.377,0
0.833,-0.275,0.103,0.612,3
-1.264,-1.454,-1.415,0.805,0
2.151,-1.362,-0.543,-0.466,1
-0.326,0.339,-1.266,1.547,3
0.657,0.017,1.0,-0.068,2
-0.408,0.695,-1.153,1.574,3
-0.41,-0.644,-2.638,-0.351,1
0.225,-0.737,1.39,0.836,3
0.072,-0.065,0.32,0.763,3
-0.3,-0.95,-0.301,1.28,3
0.032,0.233,-0.558,0.673,1
-0.47,-0.527,1.897,0.784,3
-0.068,0.307,1.785,-1.068,2
0.387,-0.471,-1.082,1.185,3
0.595,-0.241,-0.102,-0.777,1
0.207,-1.365,0.8,0.85,3
0.482,-1.064,-0.146,-1.447,0
1.568,-0.794,0.191,-1.66,1
0.511,-1.115,-1.118,-0.784,0
-1.403,0.846,1.231,-0.354,2
-0.432,-0.732,-1.852,-0.301,0
-0.931,1.74,1.693,-1.234,2
-0.707,1.6,-1.64,-0.327,1
-0.359,1.492,-1.651,0.738,1
-1.597,0.071,-0.388,-0.349,0
-0.019,-0.628,-0.971,-0.712,0
0.108,-1.203,0.791,2.109,3
0.92,-0.203,-0.82,-0.577,1
-0.755,0.494,3.102,0.57,2
0.328,-0.342,0.921,-1.225,2
-0.492,-0.48,0.481,-1.35,0
1.159,0.646,0.082,-0.926,1
1.189,-0.58,0.316,-0.034,2
0.883,-0.229,-0.343,-0.002,1
-0.411,0.707,-2.226,0.082,1
-1.007,0.7,0.156,0.034,2
0.884,0.253,-3.075,-1.331,1
0.602,-0.381,-0.023,-0.636,1
0.515,0.303,0.156,-1.007,1
-0.115,0.017,0.554,-1.698,2
-0.627,0.53,-1.902,0.185,1
0.51,0.555,-1.579,0.226,1
-0.509,0.217,-1.198,0.552,1
-1.096,-1.453,0.709,-0.29,0
-0.125,0.869,-1.125,0.104,1
0.691,0.083,0.345,0.063,2
2.132,-0.042,-0.238,-0.149,1
0.704,-0.811,-1.572,0.427,1
0.91,0.456,0.583,2.881,3
-1.549,-0.556,0.485,0.824,3
-0.323,1.479,2.549,1.145,2
-0.697,-0.071,-0.999,0.305,0
0.757,-0.89,0.948,0.091,0
-0.016,-0.525,0.855,-2.113,0
0.401,-1.274,-0.82,1.196,3
1.089,-0.291,-0.441,-0.859,1
0.487,1.052,-0.014,-0.047,2
0.453,0.78,-1.458,-0.135,1
0.798,-0.666,-0.61,1.54,3
-1.854,0.659,-0.194,0.449,3
-1.265,1.739,-0.559,-0.127,1
-0.16,1.062,0.615,-1.084,2
0.721,0.227,0.651,0.334,2
-0.146,0.889,-0.978,0.267,1
-0.298,-1.097,-0.422,0.944,0
-1.802,-0.169,-1.164,-0.523,0
-1.754,-1.133,0.347,1.311,3
-0.607,-0.274,0.8,0.303,3
-1.04,-1.304,-1.473,-2.715,0
-0.019,1.763,-0.26,0.304,2
-0.931,-1.089,1.032,0.277,0
-1.139,-0.297,-2.222,0.321,0
-0.632,-0.402,-0.318,-1.645,0
-1.614,-0.184,-0.81,0.865,3
0.53,-0.654,-0.609,0.374,0
0.644,0.546,-1.707,2.121,1
0.366,-0.744,-0.129,0.008,0
-0.128,0.081,1.614,-1.317,2
0.183,-0.063,-0.309,-0.008,1
-0.808,0.09,-0.405,-0.318,0
-0.246,1.794,-0.589,-0.54,1
1.526,0.198,-0.07,-1.074,1
0.913,0.313,-1.188,-1.018,1
-0.134,-0.927,1.367,0.384,3
1.443,-1.066,1.241,-1.026,2
0.627,0.05,1.415,0.766,2
1.085,-0.846,1.269,0.107,2
0.123,-0.582,-0.324,-1.136,0
1.362,0.729,-1.311,-0.038,1
-0.277,0.153,-1.968,0.11,1
-0.772,-0.273,1.047,1.24,3
0.17,-0.453,-0.572,0.653,3
1.858,1.357,0.826,0.24,2
0.123,0.062,0.602,-0.251,2
0.294,0.416,1.775,-0.333,2
-0.877,-0.998,0.769,-0.019,0
-0.292,-1.185,0.003,-1.872,0
-1.888,-1.502,0.871,-0.426,0
-0.97,-0.343,1.244,-0.406,0
0.352,0.4,0.161,0.015,2
-0.991,0.751,-2.608,0.009,1
0.571,-0.842,-0.823,1.59,3
1.037,-0.781,-0.38,1.457,3
0.365,-1.413,-0.041,0.667,0
-0.301,-2.165,-1.713,2.215,0
0.552,-1.209,1.07,-0.531,0
0.318,0.225,0.348,-0.939,2
-1.137,-1.553,0.268,1.352,0
-0.038,0.109,-1.052,-0.41,1
-0.664,0.851,0.673,0.436,2
1.517,1.144,0.334,1.054,2
-1.237,-0.627,1.298,0.435,3
0.289,0.879,0.228,0.347,2
0.937,0.042,-1.437,0.382,1
-0.628,-0.577,0.033,-0.043,0
-0.688,0.194,-0.132,0.024,0
-0.257,-0.996,-0.525,0.432,0
-0.787,-1.225,-1.829,-0.999,0
-0.453,-0.082,-0.013,0.132,0
-1.409,1.103,0.921,-0.58,2
-0.99,-0.012,-0.839,-1.203,0
-0.327,-0.608,0.607,-0.087,0
1.234,1.206,1.274,-1.107,2
0.894,0.227,1.182,0.694,2
0.329,0.737,-0.057,0.588,2
0.006,0.083,-0.946,0.96,3
0.795,-0.215,0.406,-0.872,2
-0.419,-0.504,-0.927,-0.796,0
0.349,1.077,0.632,-1.202,2
0.414,1.067,0.629,0.127,2
0.391,-0.151,0.673,1.347,3
0.324,0.285,-0.491,0.944,1
-0.701,-0.217,1.495,1.276,3
-0.545,0.138,-1.464,0.962,3
0.176,1.536,-0.815,-0.742,1
-0.8,0.505,1.243,-1.452,2
-0.805,-1.237,-1.326,-0.449,0
0.929,-2.193,0.115,-0.661,0
0.779,-0.611,0.923,-1.123,2
0.955,0.347,0.365,-0.129,2
-0.413,1.151,-0.938,0.31,1
-0.268,-0.268,0.742,2.545,3
0.758,0.993,0.995,0.174,2
2.211,1.775,1.579,0.332,2
-1.165,0.264,-0.764,-1.846,0
0.439,-0.046,0.165,0.874,3
0.976,-0.476,0.983,1.221,3
-0.491,-1.479,-0.426,-0.142,0
0.578,-1.382,2.149,-0.164,0
-1.382,0.377,-0.195,1.258,3
0.201,-1.282,-0.059,-0.717,0
1.258,1.319,0.505,-0.104,2
0.661,0.218,-0.204,0.52,1
-0.216,0.514,1.484,0.413,2
-1.118,-0.516,-1.449,-0.2,0
